County_Name,State,FIPS,Median_Income,Poverty_Rate_Pct,Uninsured_Rate_Pct,Pct_Black,Pct_Hispanic,Diabetes_Rate,Hypertension_Rate,Mental_Health_Poor_Days,Preventive_Screening_Rate,Medicare_Spending_Per_Beneficiary,Equity_Gap_Score,Equity_Quartile,Primary_Driver
Greene,IA,19073,56884.0,11.35,0.83,0.5,3.22,11.45,34.75,17.25,65.0,11746.74,0.2353,2.0,Uninsured
Grundy,IA,19075,80701.0,5.86,0.35,0.84,1.77,9.85,32.3,16.3,67.9,13852.06,0.1601,1.0,Uninsured
Guthrie,IA,19077,75795.0,9.99,0.43,0.47,2.9,10.75,33.9,16.299999999999997,65.55,12609.1,0.207,1.0,Uninsured
Hamilton,IA,19079,66685.0,7.64,0.19,1.38,6.66,10.8,33.7,16.1,65.5,12143.88,0.1931,1.0,Uninsured
Hancock,IA,19081,67865.0,9.69,0.89,0.82,5.2,11.1,34.4,16.6,64.75,11365.07,0.2197,2.0,Uninsured
Hardin,IA,19083,64656.0,8.04,0.81,0.55,4.57,11.4,35.05,17.0,62.8,10671.92,0.221,2.0,Hypertension
Harrison,IA,19085,75830.0,7.47,0.98,0.16,2.05,11.1,33.85,16.85,60.15,13385.84,0.2063,1.0,Uninsured
Henry,IA,19087,62365.0,10.4,0.5,2.56,5.35,11.35,34.7,17.0,63.3,11517.18,0.2256,2.0,Hypertension
Howard,IA,19089,63947.0,8.49,3.94,0.17,1.8,11.05,34.1,17.299999999999997,62.05,12493.35,0.2413,2.0,Uninsured
Humboldt,IA,19091,66617.0,13.19,0.95,0.37,5.05,11.7,35.4,17.4,66.0,11314.65,0.254,2.0,Poverty
Ida,IA,19093,63125.0,11.26,0.89,0.79,3.59,11.0,34.05,16.95,60.55,12971.84,0.2228,2.0,Uninsured
Iowa,IA,19095,69787.0,8.99,0.49,0.65,3.72,10.4,33.65,16.75,65.2,11511.86,0.1952,1.0,Uninsured
Jackson,IA,19097,69709.0,10.1,0.67,0.64,1.7,11.15,34.9,17.25,62.75,10382.55,0.2239,2.0,Hypertension
Jasper,IA,19099,67784.0,8.42,0.29,1.83,2.79,10.8,34.25,17.2,62.4,10433.72,0.2017,1.0,Hypertension
Jefferson,IA,19101,52210.0,13.14,0.02,4.82,3.6,11.65,35.5,15.549999999999999,62.3,9607.34,0.2445,2.0,Poverty
Johnson,IA,19103,72977.0,16.07,0.67,7.4,5.92,9.25,29.45,16.1,62.45,10360.34,0.1803,1.0,Poverty
Jones,IA,19105,68781.0,10.7,0.1,2.28,2.28,10.65,33.5,16.85,64.2,11748.4,0.2025,1.0,Poverty
Keokuk,IA,19107,60016.0,12.04,0.21,0.6,2.17,11.9,36.2,17.85,64.1,14261.68,0.2505,2.0,Hypertension
Kossuth,IA,19109,62553.0,10.29,0.77,0.84,3.81,11.4,33.95,16.8,63.6,11553.52,0.2232,2.0,Uninsured
Lee,IA,19111,58094.0,12.24,0.17,2.86,3.74,11.45,34.45,17.45,62.1,10955.74,0.2308,2.0,Poverty
